"Type"	"Sex"	"Speaker"	"Vowel"	"F0"	"F1"	"F2"	"F3"	"IPA"
"1"	"m"	"m"	1	"iy"	173	260	2340	2820	"i"
"2"	"m"	"m"	1	"ih"	197.5	350	2005	2595	"ɪ"
"3"	"m"	"m"	1	"eh"	158	530	1785	2510	"ɛ"
"4"	"m"	"m"	1	"ae"	160	595	1760	2605	"æ"
"5"	"m"	"m"	1	"ah"	146	605	1275	2575	"ʌ"
"6"	"m"	"m"	1	"aa"	159	770	1065	2565	"ɑ"
"7"	"m"	"m"	1	"ao"	159.5	630	975	2250	"ɔ"
"8"	"m"	"m"	1	"uh"	176.5	420	1095	2245	"ʊ"
"9"	"m"	"m"	1	"uw"	158.5	255	985	2215	"u"
"10"	"m"	"m"	1	"er"	170.5	415	1425	1630	"ɚ"
"11"	"m"	"m"	2	"iy"	147.5	215	2290	3080	"i"
"12"	"m"	"m"	2	"ih"	140	415	1870	2590	"ɪ"
"13"	"m"	"m"	2	"eh"	135.5	505	1735	2485	"ɛ"
"14"	"m"	"m"	2	"ae"	129.5	695	1650	2570	"æ"
"15"	"m"	"m"	2	"ah"	132.5	637.5	1070	2455	"ʌ"
"16"	"m"	"m"	2	"aa"	138	660	1070	2440	"ɑ"
"17"	"m"	"m"	2	"ao"	144.5	570	570	2440	"ɔ"
"18"	"m"	"m"	2	"uh"	143	430	885	2075	"ʊ"
"19"	"m"	"m"	2	"uw"	138.5	270	655	3300	"u"
"20"	"m"	"m"	2	"er"	145	510	1170	1540	"ɚ"
"21"	"m"	"m"	3	"iy"	108	247	2240	2730	"i"
"22"	"m"	"m"	3	"ih"	102	400	1960	2655	"ɪ"
"23"	"m"	"m"	3	"eh"	97.5	545	1810	2490	"ɛ"
"24"	"m"	"m"	3	"ae"	93.5	644	1732.5	2352.5	"æ"
"25"	"m"	"m"	3	"ah"	102.5	606	1180	2335	"ʌ"
"26"	"m"	"m"	3	"aa"	92.5	680	1085	2185	"ɑ"
"27"	"m"	"m"	3	"ao"	106	545	855	2290	"ɔ"
"28"	"m"	"m"	3	"uh"	114	458	1090	2295	"ʊ"
"29"	"m"	"m"	3	"uw"	112	333	925	2215	"u"
"30"	"m"	"m"	3	"er"	103	515	1350	1790	"ɚ"
"31"	"m"	"m"	4	"iy"	153	290	2345	3300	"i"
"32"	"m"	"m"	4	"ih"	151	445	2005	2380	"ɪ"
"33"	"m"	"m"	4	"eh"	140	562.5	1835	2425	"ɛ"
"34"	"m"	"m"	4	"ae"	130.5	760	1595	2345	"æ"
"35"	"m"	"m"	4	"ah"	141	667.5	1170	2355	"ʌ"
"36"	"m"	"m"	4	"aa"	131.5	775	1110	2525	"ɑ"
"37"	"m"	"m"	4	"ao"	146.5	547.5	870	2345	"ɔ"
"38"	"m"	"m"	4	"uh"	146	460	980	2280	"ʊ"
"39"	"m"	"m"	4	"uw"	144	382.5	900	2190	"u"
"40"	"m"	"m"	4	"er"	147.5	572.5	1415	1785	"ɚ"
"41"	"m"	"m"	5	"iy"	135.5	285	2280	2835	"i"
"42"	"m"	"m"	5	"ih"	135.5	435	1970	2545	"ɪ"
"43"	"m"	"m"	5	"eh"	138.5	565	1840	2450	"ɛ"
"44"	"m"	"m"	5	"ae"	139	790	1705	2250	"æ"
"45"	"m"	"m"	5	"ah"	133	640	1235	1975	"ʌ"
"46"	"m"	"m"	5	"aa"	128.5	740	1240	2080	"ɑ"
"47"	"m"	"m"	5	"ao"	130	545	925	1965	"ɔ"
"48"	"m"	"m"	5	"uh"	132.5	480	1015	1955	"ʊ"
"49"	"m"	"m"	5	"uw"	137	355	875	2135	"u"
"50"	"m"	"m"	5	"er"	139.5	535	1485	1750	"ɚ"
"51"	"m"	"m"	6	"iy"	122	321	2390	2835	"i"
"52"	"m"	"m"	6	"ih"	129	366.5	2000	2705	"ɪ"
"53"	"m"	"m"	6	"eh"	117	585	1845	2535	"ɛ"
"54"	"m"	"m"	6	"ae"	122	700.5	1678.5	2520	"æ"
"55"	"m"	"m"	6	"ah"	121.5	703	1210	2560	"ʌ"
"56"	"m"	"m"	6	"aa"	119	705	1030	2665	"ɑ"
"57"	"m"	"m"	6	"ao"	122.5	690	995	2695	"ɔ"
"58"	"m"	"m"	6	"uh"	120	453	1110	2560	"ʊ"
"59"	"m"	"m"	6	"uw"	125	300.5	888	2395	"u"
"60"	"m"	"m"	6	"er"	120	504	1312.5	1762.5	"ɚ"
"61"	"m"	"m"	7	"iy"	179	315	2300	3070	"i"
"62"	"m"	"m"	7	"ih"	168.5	440	2020	2687.5	"ɪ"
"63"	"m"	"m"	7	"eh"	156.5	622	1870	2815	"ɛ"
"64"	"m"	"m"	7	"ae"	152.5	757.5	1805	2325	"æ"
"65"	"m"	"m"	7	"ah"	163.5	630	1245	2405	"ʌ"
"66"	"m"	"m"	7	"aa"	162.5	650	975	2465	"ɑ"
"67"	"m"	"m"	7	"ao"	158	470	760	2475	"ɔ"
"68"	"m"	"m"	7	"uh"	170	476.5	1120	2225	"ʊ"
"69"	"m"	"m"	7	"uw"	187.5	390	1020	2305	"u"
"70"	"m"	"m"	7	"er"	162	567.5	1335	1730	"ɚ"
"71"	"m"	"m"	8	"iy"	107	224	2430	3150	"i"
"72"	"m"	"m"	8	"ih"	106.5	263	2165	2625	"ɪ"
"73"	"m"	"m"	8	"eh"	106	472.5	1930	2550	"ɛ"
"74"	"m"	"m"	8	"ae"	106.5	533	1940	2550	"æ"
"75"	"m"	"m"	8	"ah"	106	632	1325	2355	"ʌ"
"76"	"m"	"m"	8	"aa"	104	682	1160	2385	"ɑ"
"77"	"m"	"m"	8	"ao"	108	584	967.5	2480	"ɔ"
"78"	"m"	"m"	8	"uh"	108	471	1165	2355	"ʊ"
"79"	"m"	"m"	8	"uw"	107.5	265	942.5	2260	"u"
"80"	"m"	"m"	8	"er"	105	442.5	1405	1775	"ɚ"
"81"	"m"	"m"	9	"iy"	175	298	2237.5	2787.5	"i"
"82"	"m"	"m"	9	"ih"	167	442	1835	2450	"ɪ"
"83"	"m"	"m"	9	"eh"	157.5	584	1762.5	2400	"ɛ"
"84"	"m"	"m"	9	"ae"	147.5	591	1762.5	2375	"æ"
"85"	"m"	"m"	9	"ah"	152.5	633.5	1122.5	2212.5	"ʌ"
"86"	"m"	"m"	9	"aa"	147	706.5	1052	2397.5	"ɑ"
"87"	"m"	"m"	9	"ao"	144.5	607	854	2187.5	"ɔ"
"88"	"m"	"m"	9	"uh"	167	500	1000	2325	"ʊ"
"89"	"m"	"m"	9	"uw"	175	323	1085	2250	"u"
"90"	"m"	"m"	9	"er"	157	511	1257.5	1540	"ɚ"
"91"	"m"	"m"	10	"iy"	127	255	2230	2822.5	"i"
"92"	"m"	"m"	10	"ih"	145	394.5	2020	2462.5	"ɪ"
"93"	"m"	"m"	10	"eh"	125.5	500	1822.5	2475	"ɛ"
"94"	"m"	"m"	10	"ae"	115	642	1675	2487.5	"æ"
"95"	"m"	"m"	10	"ah"	121	661	1240	2525	"ʌ"
"96"	"m"	"m"	10	"aa"	114	763.5	1053	2652.5	"ɑ"
"97"	"m"	"m"	10	"ao"	116	582.5	809.5	2637.5	"ɔ"
"98"	"m"	"m"	10	"uh"	133.5	470.5	971.5	2425	"ʊ"
"99"	"m"	"m"	10	"uw"	136.5	273	935	2300	"u"
"100"	"m"	"m"	10	"er"	130.5	516	1307.5	1650	"ɚ"
"101"	"m"	"m"	11	"iy"	143	243	2200	3087.5	"i"
"102"	"m"	"m"	11	"ih"	144	410.5	1932.5	2575	"ɪ"
"103"	"m"	"m"	11	"eh"	140	587	1757.5	2575	"ɛ"
"104"	"m"	"m"	11	"ae"	136	717.5	1675	2322.5	"æ"
"105"	"m"	"m"	11	"ah"	136	606.5	1058	2330	"ʌ"
"106"	"m"	"m"	11	"aa"	138	735.5	1032	2312.5	"ɑ"
"107"	"m"	"m"	11	"ao"	140	560	882	2425	"ɔ"
"108"	"m"	"m"	11	"uh"	146.5	462.5	1055	2275	"ʊ"
"109"	"m"	"m"	11	"uw"	159.5	302.5	805	2162.5	"u"
"110"	"m"	"m"	11	"er"	144	520.5	1505.5	1881.5	"ɚ"
"111"	"m"	"m"	12	"iy"	117.5	230	2425	3140	"i"
"112"	"m"	"m"	12	"ih"	119	415	1905	2435	"ɪ"
"113"	"m"	"m"	12	"eh"	119	560	1685	2300	"ɛ"
"114"	"m"	"m"	12	"ae"	121.5	655	1700	2305	"æ"
"115"	"m"	"m"	12	"ah"	115	560	1410	2245	"ʌ"
"116"	"m"	"m"	12	"aa"	109	770	1285	2270	"ɑ"
"117"	"m"	"m"	12	"ao"	126.5	590	915	2040	"ɔ"
"118"	"m"	"m"	12	"uh"	120	410	1215	2220	"ʊ"
"119"	"m"	"m"	12	"uw"	122.5	280	955	2185	"u"
"120"	"m"	"m"	12	"er"	126.5	380	1430	1645	"ɚ"
"121"	"m"	"m"	13	"iy"	138.5	275	2290	2650	"i"
"122"	"m"	"m"	13	"ih"	133.5	395	1925	2500	"ɪ"
"123"	"m"	"m"	13	"eh"	124.5	495	1760	2465	"ɛ"
"124"	"m"	"m"	13	"ae"	128.5	665	1630	2440	"æ"
"125"	"m"	"m"	13	"ah"	132.5	600	1215	2480	"ʌ"
"126"	"m"	"m"	13	"aa"	126.5	675	1110	2665	"ɑ"
"127"	"m"	"m"	13	"ao"	123.5	495	715	2495	"ɔ"
"128"	"m"	"m"	13	"uh"	136.5	410	970	2375	"ʊ"
"129"	"m"	"m"	13	"uw"	133.5	365	730	2815	"u"
"130"	"m"	"m"	13	"er"	131.5	435	1365	1605	"ɚ"
"131"	"m"	"m"	14	"iy"	116	224	2350	2890	"i"
"132"	"m"	"m"	14	"ih"	111	413.5	1985	2475	"ɪ"
"133"	"m"	"m"	14	"eh"	110.5	457.5	2020	2460	"ɛ"
"134"	"m"	"m"	14	"ae"	106	735.5	1695	2420	"æ"
"135"	"m"	"m"	14	"ah"	109.5	566	1136	2550	"ʌ"
"136"	"m"	"m"	14	"aa"	100.5	693	1064	2625	"ɑ"
"137"	"m"	"m"	14	"ao"	104	555	657.5	2660	"ɔ"
"138"	"m"	"m"	14	"uh"	108	429	960	2370	"ʊ"
"139"	"m"	"m"	14	"uw"	116.5	227	680.5	2140	"u"
"140"	"m"	"m"	14	"er"	115.5	426	1300	1485	"ɚ"
"141"	"m"	"m"	15	"iy"	119.5	235	2050	2915	"i"
"142"	"m"	"m"	15	"ih"	124.5	332.5	1970	2450	"ɪ"
"143"	"m"	"m"	15	"eh"	116	425	2015	2405	"ɛ"
"144"	"m"	"m"	15	"ae"	128.5	640	1755	2130	"æ"
"145"	"m"	"m"	15	"ah"	115	660	980	2415	"ʌ"
"146"	"m"	"m"	15	"aa"	120.5	610	825	2325	"ɑ"
"147"	"m"	"m"	15	"ao"	111.5	525	660	2400	"ɔ"
"148"	"m"	"m"	15	"uh"	135	375	735	2190	"ʊ"
"149"	"m"	"m"	15	"uw"	131.5	260	730	2070	"u"
"150"	"m"	"m"	15	"er"	126	455	1265	1625	"ɚ"
"151"	"m"	"m"	16	"iy"	150	300	2407.5	3265	"i"
"152"	"m"	"m"	16	"ih"	155	396	2246	2792.5	"ɪ"
"153"	"m"	"m"	16	"eh"	143	523.5	2035	2680	"ɛ"
"154"	"m"	"m"	16	"ae"	137	694	1899	2538.5	"æ"
"155"	"m"	"m"	16	"ah"	150	689.5	1356.5	2550	"ʌ"
"156"	"m"	"m"	16	"aa"	136	832.5	1189	2715	"ɑ"
"157"	"m"	"m"	16	"ao"	145	680.5	984	2665	"ɔ"
"158"	"m"	"m"	16	"uh"	148	451	1279.5	2420	"ʊ"
"159"	"m"	"m"	16	"uw"	149.5	397.5	1310	2155	"u"
"160"	"m"	"m"	16	"er"	143	535	1480	1854	"ɚ"
"161"	"m"	"m"	17	"iy"	124	260	2297.5	2667.5	"i"
"162"	"m"	"m"	17	"ih"	113.5	363	1905	2415	"ɪ"
"163"	"m"	"m"	17	"eh"	104	515	1755	2287.5	"ɛ"
"164"	"m"	"m"	17	"ae"	102.5	630	1706	2260	"æ"
"165"	"m"	"m"	17	"ah"	104	595.5	1278	2140	"ʌ"
"166"	"m"	"m"	17	"aa"	97.5	726.5	1121	2380	"ɑ"
"167"	"m"	"m"	17	"ao"	101.5	574.5	814.5	2405	"ɔ"
"168"	"m"	"m"	17	"uh"	108	421	1150	2157.5	"ʊ"
"169"	"m"	"m"	17	"uw"	121	320.5	1102.5	2235	"u"
"170"	"m"	"m"	17	"er"	110	456.5	1294	1612.5	"ɚ"
"171"	"m"	"m"	18	"iy"	127	215	2090	3135	"i"
"172"	"m"	"m"	18	"ih"	129	295	1975	2690	"ɪ"
"173"	"m"	"m"	18	"eh"	125	480	1920	2615	"ɛ"
"174"	"m"	"m"	18	"ae"	117	645	1600	2280	"æ"
"175"	"m"	"m"	18	"ah"	123.5	615	1110	2280	"ʌ"
"176"	"m"	"m"	18	"aa"	119	685	1100	2230	"ɑ"
"177"	"m"	"m"	18	"ao"	120	465	705	2190	"ɔ"
"178"	"m"	"m"	18	"uh"	129.5	315	780	1890	"ʊ"
"179"	"m"	"m"	18	"uw"	144	225	700	1875	"u"
"180"	"m"	"m"	18	"er"	126	405	1280	1530	"ɚ"
"181"	"m"	"m"	19	"iy"	132	190	2675	3225	"i"
"182"	"m"	"m"	19	"ih"	131	370	1775	2725	"ɪ"
"183"	"m"	"m"	19	"eh"	123.5	372.5	1690	2530	"ɛ"
"184"	"m"	"m"	19	"ae"	120.5	540	1590	2625	"æ"
"185"	"m"	"m"	19	"ah"	121.5	580	1075	2490	"ʌ"
"186"	"m"	"m"	19	"aa"	117	655	975	2885	"ɑ"
"187"	"m"	"m"	19	"ao"	117	565	840	2860	"ɔ"
"188"	"m"	"m"	19	"uh"	127.5	365	960	2435	"ʊ"
"189"	"m"	"m"	19	"uw"	135	230	980	2020	"u"
"190"	"m"	"m"	19	"er"	131.5	365	1300	1840	"ɚ"
"191"	"m"	"m"	20	"iy"	129	255	2195	2720	"i"
"192"	"m"	"m"	20	"ih"	121.5	375	1940	2460	"ɪ"
"193"	"m"	"m"	20	"eh"	120	545	1685	2345	"ɛ"
"194"	"m"	"m"	20	"ae"	119.5	650	1525	2300	"æ"
"195"	"m"	"m"	20	"ah"	122.5	630	1105	2380	"ʌ"
"196"	"m"	"m"	20	"aa"	118	650	960	2355	"ɑ"
"197"	"m"	"m"	20	"ao"	116	585	815	2450	"ɔ"
"198"	"m"	"m"	20	"uh"	120.5	380	850	2200	"ʊ"
"199"	"m"	"m"	20	"uw"	133	265	695	2165	"u"
"200"	"m"	"m"	20	"er"	120.5	475	1370	1730	"ɚ"
"201"	"m"	"m"	21	"iy"	152.5	290	2360	2935	"i"
"202"	"m"	"m"	21	"ih"	146	430	2055	2675	"ɪ"
"203"	"m"	"m"	21	"eh"	135	540	1910	2525	"ɛ"
"204"	"m"	"m"	21	"ae"	139	655	1810	2460	"æ"
"205"	"m"	"m"	21	"ah"	145	655	1245	2600	"ʌ"
"206"	"m"	"m"	21	"aa"	144	720	1085	2610	"ɑ"
"207"	"m"	"m"	21	"ao"	142	625	925	2615	"ɔ"
"208"	"m"	"m"	21	"uh"	142.5	430	1140	2430	"ʊ"
"209"	"m"	"m"	21	"uw"	143.5	285	995	2315	"u"
"210"	"m"	"m"	21	"er"	150	435	1350	1600	"ɚ"
"211"	"m"	"m"	22	"iy"	135	325	2270	2780	"i"
"212"	"m"	"m"	22	"ih"	137	425	2140	2600	"ɪ"
"213"	"m"	"m"	22	"eh"	130	550	1885	2360	"ɛ"
"214"	"m"	"m"	22	"ae"	131	715	1885	2520	"æ"
"215"	"m"	"m"	22	"ah"	135	790	1130	2100	"ʌ"
"216"	"m"	"m"	22	"aa"	133	725	1100	2100	"ɑ"
"217"	"m"	"m"	22	"ao"	137.5	620	885	2245	"ɔ"
"218"	"m"	"m"	22	"uh"	140.5	520	920	2220	"ʊ"
"219"	"m"	"m"	22	"uw"	149	265	585	2200	"u"
"220"	"m"	"m"	22	"er"	140	550	1545	2075	"ɚ"
"221"	"m"	"m"	23	"iy"	122	240	2125	2880	"i"
"222"	"m"	"m"	23	"ih"	125	405	1790	2400	"ɪ"
"223"	"m"	"m"	23	"eh"	118	575	1760	2450	"ɛ"
"224"	"m"	"m"	23	"ae"	112.5	737.5	1540	2370	"æ"
"225"	"m"	"m"	23	"ah"	124	635	940	2510	"ʌ"
"226"	"m"	"m"	23	"aa"	119.5	700	955	2520	"ɑ"
"227"	"m"	"m"	23	"ao"	122.5	465	660	2500	"ɔ"
"228"	"m"	"m"	23	"uh"	125	425	910	2120	"ʊ"
"229"	"m"	"m"	23	"uw"	127.5	260	670	2065	"u"
"230"	"m"	"m"	23	"er"	120	525	1280	1685	"ɚ"
"231"	"m"	"m"	24	"iy"	154	284	2475	2790	"i"
"232"	"m"	"m"	24	"ih"	156.5	392	2095	2515	"ɪ"
"233"	"m"	"m"	24	"eh"	145.5	586.5	1870	2225	"ɛ"
"234"	"m"	"m"	24	"ae"	142.5	682.5	1815	2280	"æ"
"235"	"m"	"m"	24	"ah"	144	670	1335	2105	"ʌ"
"236"	"m"	"m"	24	"aa"	137.5	765	1200	2070	"ɑ"
"237"	"m"	"m"	24	"ao"	138.5	550	900	1925	"ɔ"
"238"	"m"	"m"	24	"uh"	153.5	425	1140	2050	"ʊ"
"239"	"m"	"m"	24	"uw"	150.5	307	800	2185	"u"
"240"	"m"	"m"	24	"er"	150	580	1410	1800	"ɚ"
"241"	"m"	"m"	25	"iy"	108	252	2137.5	2945	"i"
"242"	"m"	"m"	25	"ih"	109.5	380	1953.5	2630	"ɪ"
"243"	"m"	"m"	25	"eh"	110.5	484	2047.5	2740	"ɛ"
"244"	"m"	"m"	25	"ae"	97	632.5	1880	2600	"æ"
"245"	"m"	"m"	25	"ah"	100.5	625	1163.5	2420	"ʌ"
"246"	"m"	"m"	25	"aa"	98	745	1157.5	2345	"ɑ"
"247"	"m"	"m"	25	"ao"	103	477	764.5	2360	"ɔ"
"248"	"m"	"m"	25	"uh"	120.5	425	1024	2180	"ʊ"
"249"	"m"	"m"	25	"uw"	128	371	949	2130	"u"
"250"	"m"	"m"	25	"er"	122.5	529.5	1310	1629	"ɚ"
"251"	"m"	"m"	26	"iy"	128	256.5	2232.5	2765	"i"
"252"	"m"	"m"	26	"ih"	130	402	2205	2710	"ɪ"
"253"	"m"	"m"	26	"eh"	116	515.5	1854	2495	"ɛ"
"254"	"m"	"m"	26	"ae"	112.5	625	1863.5	2565	"æ"
"255"	"m"	"m"	26	"ah"	114	622.5	1254.5	2475	"ʌ"
"256"	"m"	"m"	26	"aa"	110	660	1036	2595	"ɑ"
"257"	"m"	"m"	26	"ao"	118.5	507	728	2595	"ɔ"
"258"	"m"	"m"	26	"uh"	123.5	463.5	983	2445	"ʊ"
"259"	"m"	"m"	26	"uw"	138.5	355.5	747	2479	"u"
